time,OPENET_ID,sims_et,gridmet_pr,landsat_ndvi,sims_etof,eemetric_et,eemetric_etof,ensemble_et,ensemble_etof
2022-10-01,ORx_24915,2.028,2.358,0.39,0.779,1.383,0.531,1.534,0.589
2022-10-01,ORx_25179,2.744,2.276,0.76,1.021,1.273,0.473,2.081,0.774
2022-10-01,ORx_25334,2.708,2.276,0.773,1.007,1.402,0.521,2.138,0.795
2022-10-01,ORx_25338,2.74,2.276,0.738,1.019,1.218,0.453,1.993,0.741
2022-10-01,ORx_25362,2.718,2.276,0.766,1.011,1.641,0.611,1.887,0.702
2022-11-01,ORx_24912,0.945,2.299,0.633,1.052,0.159,0.178,0.462,0.514
2022-11-01,ORx_24915,0.945,2.299,0.233,1.052,0.025,0.028,0.452,0.503
2022-11-01,ORx_25179,0.946,2.358,0.758,1.02,0.137,0.148,0.488,0.526
2022-11-01,ORx_25334,0.931,2.358,0.76,1.003,0.137,0.147,0.466,0.503
2022-11-01,ORx_25338,0.965,2.358,0.721,1.04,0.086,0.092,0.463,0.5
2022-11-01,ORx_25362,0.926,2.358,0.772,0.998,0.132,0.142,0.283,0.306
2022-12-01,ORx_25362,0.542,1.854,0.63,0.939,0.101,0.176,0.096,0.166
2022-12-01,ORx_24912,0.303,1.913,0.429,0.535,0.016,0.029,0.272,0.48
2022-12-01,ORx_24915,0.155,1.913,0.234,0.273,0.032,0.057,0.324,0.571
2022-12-01,ORx_25179,0.472,1.854,0.516,0.817,0.112,0.194,0.36,0.623
2022-12-01,ORx_25334,0.458,1.854,0.484,0.792,0.099,0.171,0.345,0.598
2022-12-01,ORx_25338,0.475,1.854,0.51,0.823,0.078,0.135,0.333,0.576
2023-01-01,ORx_24912,0.827,0.717,0.383,0.955,0.172,0.199,0.451,0.521
2023-01-01,ORx_24915,0.742,0.717,0.208,0.857,0.104,0.12,0.551,0.636
2023-01-01,ORx_25179,1.102,0.783,0.484,1.13,0.109,0.112,0.528,0.541
2023-01-01,ORx_25334,1.086,0.783,0.45,1.113,0.152,0.156,0.505,0.518
2023-01-01,ORx_25338,1.092,0.783,0.467,1.12,0.13,0.133,0.481,0.493
2023-01-01,ORx_25362,1.102,0.783,0.58,1.13,0.054,0.055,0.212,0.217
2023-02-01,ORx_25362,1.468,0.594,0.506,0.964,0.236,0.155,0.514,0.338
2023-02-01,ORx_24915,0.745,0.587,0.172,0.495,0.138,0.092,0.582,0.387
2023-02-01,ORx_25179,1.406,0.594,0.438,0.923,0.081,0.053,0.702,0.461
2023-02-01,ORx_25334,1.339,0.594,0.403,0.88,0.14,0.092,0.683,0.449
2023-02-01,ORx_25338,1.381,0.594,0.425,0.907,0.201,0.132,0.735,0.483
2023-02-01,ORx_24912,0.944,0.587,0.302,0.628,0.31,0.206,0.673,0.447
2023-03-01,ORx_24912,1.901,1.417,0.33,0.766,1.739,0.701,1.923,0.775
2023-03-01,ORx_25362,2.578,1.724,0.47,1.054,1.625,0.664,1.909,0.781
2023-03-01,ORx_25338,2.537,1.724,0.444,1.037,0.954,0.39,1.718,0.702
2023-03-01,ORx_25334,2.427,1.724,0.394,0.992,0.751,0.307,1.589,0.649
2023-03-01,ORx_25179,2.528,1.724,0.438,1.033,0.706,0.289,1.65,0.675
2023-03-01,ORx_24915,1.538,1.417,0.193,0.62,0.973,0.392,1.509,0.608
2023-04-01,ORx_24912,3.343,1.709,0.551,0.954,2.074,0.592,3.126,0.892
2023-04-01,ORx_25362,3.847,1.776,0.606,1.098,1.075,0.307,2.601,0.742
2023-04-01,ORx_25338,3.788,1.776,0.569,1.081,1.32,0.377,3.578,1.021
2023-04-01,ORx_25334,3.726,1.776,0.523,1.063,1.098,0.313,3.352,0.956
2023-04-01,ORx_25179,3.784,1.776,0.561,1.08,1.247,0.356,3.606,1.029
2023-04-01,ORx_24915,2.501,1.709,0.236,0.714,1.361,0.388,2.165,0.618
2023-05-01,ORx_24912,4.742,0.425,0.613,0.83,3.922,0.686,4.752,0.831
2023-05-01,ORx_25362,6.39,0.508,0.805,1.105,4.024,0.696,5.5,0.951
2023-05-01,ORx_25338,6.354,0.508,0.777,1.099,3.666,0.634,5.522,0.955
2023-05-01,ORx_25334,6.324,0.508,0.778,1.094,3.414,0.59,5.484,0.948
2023-05-01,ORx_25179,6.338,0.508,0.771,1.096,3.656,0.632,5.859,1.013
2023-05-01,ORx_24915,3.633,0.425,0.418,0.635,3.073,0.538,3.971,0.695
2023-06-01,ORx_24912,5.067,0.039,0.563,0.76,4.989,0.749,4.936,0.741
2023-06-01,ORx_24915,6.228,0.039,0.748,0.935,5.44,0.816,5.563,0.835
2023-06-01,ORx_25179,7.2,0.083,0.767,1.09,4.675,0.707,6.2,0.938
2023-06-01,ORx_25334,7.179,0.083,0.773,1.086,4.44,0.672,6.105,0.924
2023-06-01,ORx_25338,7.217,0.083,0.78,1.092,4.513,0.683,5.781,0.875
2023-06-01,ORx_25362,7.163,0.083,0.755,1.084,4.8,0.726,5.914,0.895
2023-07-01,ORx_24912,6.348,0.146,0.559,0.76,5.752,0.689,5.816,0.697
2023-07-01,ORx_25338,9.063,0.114,0.77,1.084,5.469,0.654,6.923,0.828
2023-07-01,ORx_25362,9.099,0.114,0.778,1.089,6.097,0.73,7.442,0.89
2023-07-01,ORx_25334,8.919,0.114,0.75,1.067,5.692,0.681,7.265,0.869
2023-07-01,ORx_25179,9.108,0.114,0.78,1.09,5.987,0.716,7.419,0.888
2023-07-01,ORx_24915,6.276,0.146,0.551,0.752,5.454,0.653,5.644,0.676
2023-08-01,ORx_24912,5.407,0.543,0.565,0.789,4.996,0.729,4.942,0.721
2023-08-01,ORx_24915,5.783,0.543,0.623,0.844,4.863,0.71,4.893,0.714
2023-08-01,ORx_25179,7.66,0.575,0.781,1.101,4.541,0.653,5.677,0.816
2023-08-01,ORx_25334,7.61,0.575,0.771,1.094,4.312,0.62,5.631,0.809
2023-08-01,ORx_25338,7.606,0.575,0.759,1.094,4.234,0.609,5.299,0.762
2023-08-01,ORx_25362,7.688,0.575,0.8,1.105,6.003,0.863,6.041,0.868
2023-09-01,ORx_24915,4.04,0.827,0.745,0.996,3.417,0.843,2.955,0.729
2023-09-01,ORx_25179,4.636,0.862,0.807,1.106,2.703,0.645,3.171,0.756
2023-09-01,ORx_25334,4.607,0.862,0.795,1.099,2.586,0.617,3.224,0.769
2023-09-01,ORx_25338,4.603,0.862,0.786,1.098,2.786,0.665,3.207,0.765
2023-09-01,ORx_25362,4.642,0.862,0.82,1.107,3.549,0.847,3.497,0.834
2023-09-01,ORx_24912,3.669,0.827,0.657,0.905,3.273,0.807,2.943,0.726
2023-10-01,ORx_24912,2.018,1.484,0.641,0.997,1.73,0.854,1.694,0.837
2023-10-01,ORx_24915,1.945,1.484,0.599,0.961,1.585,0.783,1.609,0.795
2023-10-01,ORx_25179,2.193,1.295,0.767,1.043,1.479,0.703,2.028,0.964
2023-10-01,ORx_25334,2.19,1.295,0.78,1.041,1.703,0.81,2.007,0.955
2023-10-01,ORx_25338,2.198,1.295,0.777,1.045,1.77,0.842,1.978,0.941
2023-10-01,ORx_25362,2.199,1.295,0.802,1.046,2.2,1.046,2.097,0.997
2023-11-01,ORx_25362,1.037,1.661,0.709,1.097,0.684,0.723,0.701,0.742
2023-11-01,ORx_24912,1.02,1.925,0.55,1.154,0.932,1.054,0.999,1.131
2023-11-01,ORx_24915,1.021,1.925,0.645,1.156,0.967,1.094,0.992,1.122
2023-11-01,ORx_25179,1.063,1.661,0.659,1.125,0.431,0.456,0.483,0.511
2023-11-01,ORx_25334,1.059,1.661,0.635,1.121,0.6,0.635,0.704,0.745
2023-11-01,ORx_25338,1.062,1.661,0.675,1.124,0.566,0.599,0.706,0.746
